language,product_category,review_title,review_body,stars,count,Sentiment,Language,Response
de,kitchen,Defekt,"Gerät kam defekt an. Der Display zeigte zwar an, dass die Programme laufen, jedoch bewegte sich die Antriebswelle nicht.",1,1,support,de,"{'input': 'Gerät kam defekt an. Der Display zeigte zwar an, dass die Programme laufen, jedoch bewegte sich die Antriebswelle nicht.', 'destination': 'support', 'language': 'de', 'text': '1. Kontaktieren Sie den Kundendienst des Herstellers per Telefon oder E-Mail und geben Sie die Bestellnummer und eine Beschreibung des Problems an.\n2. Der Kundendienst wird Ihnen wahrscheinlich empfehlen, das defekte Gerät zurückzusenden und eine Rückerstattung oder einen Ersatz anzufordern.\n3. Stellen Sie sicher, dass Sie alle notwendigen Informationen bereitstellen, wie z.B. Ihre Kontaktdaten und die Rücksendeadresse.\n4. Verpacken Sie das defekte Gerät sicher und senden Sie es gemäß den Anweisungen des Kundendienstes zurück.\n5. Halten Sie den Status Ihrer Rücksendung im Auge und kontaktieren Sie den Kundendienst erneut, wenn Sie weitere Hilfe benötigen.\n6. Sobald das defekte Gerät erhalten wurde, sollte der Hersteller den Ersatz oder die Rückerstattung bearbeiten, um das Problem zu lösen.'}"
de,pet_products,Leider nichts fpr mein OEB,Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.,1,1,support,de,"{'input': 'Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.', 'destination': 'support', 'language': 'de', 'text': 'Sehr geehrte Kundin/Sehr geehrter Kunde,\n\nvielen Dank für Ihr Feedback und tut uns leid zu hören, dass Ihr Hund das Futter so schnell umgeschmissen hat. Wir entschuldigen uns aufrichtig für die Unannehmlichkeiten, die dadurch entstanden sind.\n\nGerne stehen wir Ihnen zur Verfügung, um eine alternative Lösung oder ein Ersatzprodukt anzubieten. Bitte zögern Sie nicht, uns zu kontaktieren, damit wir Ihnen weiterhelfen können.\n\nWir danken Ihnen für Ihre Zeit und hoffen, dass wir die Möglichkeit haben, Ihr Vertrauen in unsere Produkte wiederherzustellen.\n\nMit freundlichen Grüßen,\n\n[Ihr Name] [Ihre Position] [Ihr Unternehmen]'}"
de,kitchen,Naja,"Für sandwiches, burger Patty's ist er ganz OK aber steaks, Händchen oder Würstchen finde ich es nicht gut. Vom Gerät selber her sieht er gut aus und ist platzsparend.",2,1,support,de,"{'input': ""Für sandwiches, burger Patty's ist er ganz OK aber steaks, Händchen oder Würstchen finde ich es nicht gut. Vom Gerät selber her sieht er gut aus und ist platzsparend."", 'destination': 'support', 'language': 'de', 'text': '1. Entschuldigen Sie sich für die Unannehmlichkeiten und bedanken Sie sich für das Feedback des Kunden.\n2. Erklären Sie dem Kunden, dass Sie seine Bedenken ernst nehmen und dass Sie daran arbeiten werden, das Problem zu lösen.\n3. Bieten Sie dem Kunden eine Lösung an, wie z.B. eine Rückerstattung oder einen Gutschein für zukünftige Einkäufe.\n4. Stellen Sie sicher, dass der Kunde zufrieden ist und bieten Sie an, weitere Fragen oder Bedenken zu klären.\n5. Überprüfen Sie Ihre Produktqualität und Serviceprozesse, um ähnliche Probleme in Zukunft zu vermeiden.'}"
de,shoes,Schlechte Qualität,"Innensohle löste sich nach ca.4 Wochen auf, Klettverschluss ebenfalls abgenutzt und geht kaputt.Diese Schuhe sind nicht zu empfehlen, billige Qualität.",2,1,support,de,"{'input': 'Innensohle löste sich nach ca.4 Wochen auf, Klettverschluss ebenfalls abgenutzt und geht kaputt.Diese Schuhe sind nicht zu empfehlen, billige Qualität.', 'destination': 'support', 'language': 'de', 'text': 'Sehr geehrter Kunde,\n\nWir entschuldigen uns aufrichtig für die Unannehmlichkeiten, die Sie mit unseren Schuhen erlebt haben. Es tut uns leid zu hören, dass die Innensohle sich nach nur 4 Wochen aufgelöst hat und auch der Klettverschluss bereits abgenutzt ist. Das entspricht nicht unseren Qualitätsstandards und wir bedauern zutiefst, dass Sie mit dem Produkt unzufrieden sind.\n\nGerne möchten wir Ihnen unsere Unterstützung anbieten und stehen Ihnen bei der Lösung des Problems zur Seite. Bitte zögern Sie nicht, sich mit unserem Kundendienst in Verbindung zu setzen, damit wir eine zufriedenstellende Lösung finden können.\n\nNochmals möchten wir uns aufrichtig bei Ihnen entschuldigen und hoffen, dass wir die Gelegenheit haben, Ihr Vertrauen in unsere Marke wiederherzustellen.\n\nMit freundlichen Grüßen,\n[Unternehmensname] Kundendienst'}"
de,home_improvement,Verpackung,"Der Akku ist halt ein Original, also nichts zu beanstanden. Allerdings ist die Verpackung absolut kundenunfreundlich. Ich verstehe, dass man die Akkus im Laden vor Diebstahl schützen möchte, aber wenn ich im Hause nach der Lieferung von Amazon ca. 15 Min. brauche um die Verpackung zu öffnen, so empfinde ich das als Zumutung.",3,1,support,de,"{'input': 'Der Akku ist halt ein Original, also nichts zu beanstanden. Allerdings ist die Verpackung absolut kundenunfreundlich. Ich verstehe, dass man die Akkus im Laden vor Diebstahl schützen möchte, aber wenn ich im Hause nach der Lieferung von Amazon ca. 15 Min. brauche um die Verpackung zu öffnen, so empfinde ich das als Zumutung.', 'destination': 'support', 'language': 'de', 'text': '1. Entschuldigen Sie sich für die Unannehmlichkeiten, die die kundenunfreundliche Verpackung verursacht hat.\n2. Erklären Sie, dass der Originalakku keine Mängel aufweist.\n3. Bieten Sie mögliche Lösungen an, wie z.B. alternative Verpackungsmaterialien oder einfachere Verpackungsmethoden.\n4. Stellen Sie sicher, dass der Kunde weiß, dass Ihr Ziel ist, eine positive Erfahrung zu bieten und dass Sie sein Feedback ernst nehmen.\n5. Fragen Sie nach weiterem Feedback oder anderen Anliegen, um sicherzustellen, dass der Kunde zufrieden ist.'}"
de,pet_products,Könnte der verschluss besser sein,Ist nicht so gut weil der Kot am Hintern klebt,3,1,support,de,"{'input': 'Ist nicht so gut weil der Kot am Hintern klebt', 'destination': 'support', 'language': 'de', 'text': '1. Entschuldigen Sie sich beim Kunden für das Problem, das sie hatten, und zeigen Sie Verständnis für ihre Unzufriedenheit.\n\n2. Erklären Sie, dass Sie verstehen, wie frustrierend es sein kann, wenn der Kot am Hintern klebt, und dass Sie bereit sind, das Problem zu lösen.\n\n3. Bieten Sie eine mögliche Lösung an, wie zum Beispiel die Verwendung eines feuchten Tuchs oder speziellen Papiers, um das Problem zu beheben.\n\n4. Stellen Sie sicher, dass der Kunde weiß, dass Sie für weitere Fragen oder Probleme zur Verfügung stehen und dass Sie bereit sind, zusätzliche Unterstützung zu bieten, falls erforderlich.\n\n5. Abschließend bedanken Sie sich beim Kunden für ihr Feedback und ihre Geduld bei der Lösung des Problems.'}"
de,home_improvement,"klebt nicht so fest, wie erwartet","das Isolierband klebt nicht so fest, wie ich erwartet habe, daher nur 4 Sterne",4,1,support,de,"{'input': 'das Isolierband klebt nicht so fest, wie ich erwartet habe, daher nur 4 Sterne', 'destination': 'support', 'language': 'de', 'text': 'Es tut mir leid zu hören, dass das Isolierband nicht Ihren Erwartungen entsprochen hat. Bitte lassen Sie mich wissen, wie ich Ihnen behilflich sein kann, um das Problem zu lösen. Vielen Dank für Ihr Feedback und die 4 Sterne Bewertung.'}"
de,pet_products,Es scheint....,geschmeckt zu haben. :),4,1,support,de,"{'input': 'geschmeckt zu haben. :)', 'destination': 'support', 'language': 'de', 'text': 'Danke schön, es freut mich sehr, dass es Ihnen geschmeckt hat! :)'}"
de,jewelry,Attraktives Freundschaftsband mit coolem Logo,Schönes Teil mit gutem Preis-/Leistungsverhältnis. Schnelle Lieferung. Wirkt hochwertig und ist cool verpackt. Könnte Weihnachtsgeschenk für meine Badminton-Kumpel werden...,5,1,negative,de,"{'input': 'Schönes Teil mit gutem Preis-/Leistungsverhältnis. Schnelle Lieferung. Wirkt hochwertig und ist cool verpackt. Könnte Weihnachtsgeschenk für meine Badminton-Kumpel werden...', 'destination': 'negative', 'language': 'de', 'text': 'Vielen Dank für Ihr positives Feedback! Es freut uns zu hören, dass Sie mit Ihrem Einkauf zufrieden sind. Wir hoffen, dass Ihre Badminton-Kumpel sich über das Geschenk freuen werden. Viel Spaß beim Verschenken und weiterhin viel Spaß beim Badmintonspielen!'}"
de,pet_products,Gute Geschenk idee,"Meine freundin hat sich sehr gefreut, tolles Produkt",5,1,support,de,"{'input': 'Meine freundin hat sich sehr gefreut, tolles Produkt', 'destination': 'support', 'language': 'de', 'text': 'Vielen Dank! Es freut mich sehr zu hören, dass deine Freundin sich über das Produkt gefreut hat.'}"
en,industrial_supplies,Too small,"Believe the other reviews, the belt is small and won’t let you start the mower. When you do it will burn the belt in minutes.",1,1,support,en,"{'input': 'Believe the other reviews, the belt is small and won’t let you start the mower. When you do it will burn the belt in minutes.', 'destination': 'support', 'language': 'en', 'text': 'We apologize for the inconvenience you experienced with the small belt on the mower. We understand the frustration when the equipment does not function properly. Please accept our sincerest apologies for any inconvenience this may have caused. If you require assistance in finding a replacement belt or any other support, please do not hesitate to reach out to us. We are here to help in any way we can. Thank you for bringing this matter to our attention.'}"
en,pc,Not Working after 3 months,Purchases this for my husband and after 3 months it just stopped working will no longer turn on. Being trying to contact support for this item since it has 1 year warranty but it just seems impossible to heb ahold of someone for a replacement.,1,1,support,en,"{'input': 'Purchases this for my husband and after 3 months it just stopped working will no longer turn on. Being trying to contact support for this item since it has 1 year warranty but it just seems impossible to heb ahold of someone for a replacement.', 'destination': 'support', 'language': 'en', 'text': ""1. First, gather all necessary information about the purchase, such as the date of purchase, where it was bought, and any relevant warranty information.\n\n2. Contact the company's customer support line via phone, email, or online chat. Be sure to have your receipt, warranty information, and any serial numbers or product information on hand.\n\n3. If unable to reach someone through normal channels, try reaching out on social media or the company's website for alternative methods of contact.\n\n4. Clearly explain the issue with the product, emphasizing that it is still under warranty and should be replaced or repaired according to the company's policy.\n\n5. If all else fails, consider filing a complaint with the Better Business Bureau or seeking assistance from a consumer advocacy group to help resolve the issue. Remember to stay persistent and keep documentation of all communication attempts.""}"
