language,product_category,review_title,review_body,stars,count,Sentiment,Language,Response
de,kitchen,Defekt,"Gerät kam defekt an. Der Display zeigte zwar an, dass die Programme laufen, jedoch bewegte sich die Antriebswelle nicht.",1,1,negative,de,"{'input': 'Gerät kam defekt an. Der Display zeigte zwar an, dass die Programme laufen, jedoch bewegte sich die Antriebswelle nicht.', 'destination': 'negative', 'language': 'de', 'text': 'Apology in Original Language: Es tut uns sehr leid, dass Ihr Gerät defekt angekommen ist. Bitte entschuldigen Sie die Unannehmlichkeiten.\n\nOffer of Assistance in Original Language: Gerne bieten wir Ihnen unsere Hilfe an, um das Problem mit der Antriebswelle zu beheben und das Gerät wieder ordnungsgemäß zum Laufen zu bringen.\n\nEnglish Translation: \n\nApology: We are very sorry that your device arrived defective. Please accept our apologies for the inconvenience.\n\nOffer of Assistance: We are happy to offer our help to solve the problem with the drive shaft and get the device running properly again.'}"
de,pet_products,Leider nichts fpr mein OEB,Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.,1,1,negative,de,"{'input': 'Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.', 'destination': 'negative', 'language': 'de', 'text': 'After not even 30 seconds, my dog knocked this over and the food was scattered everywhere. Personally cannot recommend it.\n\nPolite Apology in Original Language: Es tut mir sehr leid, dass Ihr Hund das Futter umgeschmissen hat. Bitte lassen Sie mich wissen, wie ich Ihnen behilflich sein kann.\n\nEnglish Translation: I am very sorry that your dog knocked over the food. Please let me know how I can assist you.'}"
de,kitchen,Naja,"Für sandwiches, burger Patty's ist er ganz OK aber steaks, Händchen oder Würstchen finde ich es nicht gut. Vom Gerät selber her sieht er gut aus und ist platzsparend.",2,1,negative,de,"{'input': ""Für sandwiches, burger Patty's ist er ganz OK aber steaks, Händchen oder Würstchen finde ich es nicht gut. Vom Gerät selber her sieht er gut aus und ist platzsparend."", 'destination': 'negative', 'language': 'de', 'text': 'For sandwiches and burger patties, it is quite good, but for steaks, chicken, or sausages, I do not find it good. The device itself looks good and is space-saving.\n\nApology and offer assistance: \n\nEs tut uns leid, dass Sie mit der Qualität der Steaks, des Hähnchens und der Würstchen nicht zufrieden waren. Wir entschuldigen uns aufrichtig für diese Unannehmlichkeiten und möchten Ihnen gerne behilflich sein, um sicherzustellen, dass Sie mit unserem Produkt zufrieden sind. Bitte zögern Sie nicht, uns zu kontaktieren, damit wir Ihnen weiterhelfen können.\n\nTranslation:\n\nWe apologize for the quality of the steaks, chicken, and sausages not meeting your expectations. We sincerely apologize for any inconvenience and would like to assist you to ensure your satisfaction with our product. Please do not hesitate to contact us so we can assist you further.'}"
de,shoes,Schlechte Qualität,"Innensohle löste sich nach ca.4 Wochen auf, Klettverschluss ebenfalls abgenutzt und geht kaputt.Diese Schuhe sind nicht zu empfehlen, billige Qualität.",2,1,negative,de,"{'input': 'Innensohle löste sich nach ca.4 Wochen auf, Klettverschluss ebenfalls abgenutzt und geht kaputt.Diese Schuhe sind nicht zu empfehlen, billige Qualität.', 'destination': 'negative', 'language': 'de', 'text': 'Insole came loose after about 4 weeks, Velcro also worn out and breaking. These shoes are not recommended, cheap quality.\n\nPolite Apology and Offer of Assistance:\nWir entschuldigen uns aufrichtig für die Unannehmlichkeiten, die Sie mit unseren Schuhen erfahren haben. Gerne möchten wir Ihnen bei der Lösung dieses Problems behilflich sein. Bitte kontaktieren Sie unseren Kundenservice, damit wir eine Lösung finden können.\n\nEnglish Translation:\nWe sincerely apologize for the inconvenience you have experienced with our shoes. We would like to assist you in resolving this issue. Please contact our customer service so that we can find a solution.'}"
de,home_improvement,Verpackung,"Der Akku ist halt ein Original, also nichts zu beanstanden. Allerdings ist die Verpackung absolut kundenunfreundlich. Ich verstehe, dass man die Akkus im Laden vor Diebstahl schützen möchte, aber wenn ich im Hause nach der Lieferung von Amazon ca. 15 Min. brauche um die Verpackung zu öffnen, so empfinde ich das als Zumutung.",3,1,negative,de,"{'input': 'Der Akku ist halt ein Original, also nichts zu beanstanden. Allerdings ist die Verpackung absolut kundenunfreundlich. Ich verstehe, dass man die Akkus im Laden vor Diebstahl schützen möchte, aber wenn ich im Hause nach der Lieferung von Amazon ca. 15 Min. brauche um die Verpackung zu öffnen, so empfinde ich das als Zumutung.', 'destination': 'negative', 'language': 'de', 'text': 'The battery is indeed original, so nothing to complain about. However, the packaging is absolutely customer-unfriendly. I understand that the batteries need to be protected from theft in the store, but if I need about 15 minutes to open the packaging at home after delivery from Amazon, I find it unreasonable.\n\nPolite Apology and Offer of Assistance:\nSehr geehrter Kunde, wir entschuldigen uns aufrichtig für die Unannehmlichkeiten, die Sie mit der Verpackung unseres Produkts erfahren haben. Wir werden Ihre Rückmeldung nutzen, um unsere Verpackungsprozesse zu überprüfen und zu verbessern. Falls Sie weitere Hilfe benötigen oder Fragen haben, stehen wir Ihnen gerne zur Verfügung. Vielen Dank für Ihr Feedback.\n\nEnglish Translation:\nDear customer, we sincerely apologize for the inconvenience you experienced with the packaging of our product. We will use your feedback to review and improve our packaging processes. If you need further assistance or have any questions, please feel free to contact us. Thank you for your feedback.'}"
de,pet_products,Könnte der verschluss besser sein,Ist nicht so gut weil der Kot am Hintern klebt,3,1,negative,de,"{'input': 'Ist nicht so gut weil der Kot am Hintern klebt', 'destination': 'negative', 'language': 'de', 'text': ""It is not so good because the feces sticks to the buttocks.\n\nPolite apology and offer assistance:\nEs tut mir leid, dass Sie eine unangenehme Erfahrung gemacht haben. Bitte lassen Sie mich wissen, wie ich Ihnen behilflich sein kann, um das Problem zu lösen.\n\nEnglish Translation:\nI'm sorry that you had an unpleasant experience. Please let me know how I can assist you in solving the problem.""}"
de,home_improvement,"klebt nicht so fest, wie erwartet","das Isolierband klebt nicht so fest, wie ich erwartet habe, daher nur 4 Sterne",4,1,negative,de,"{'input': 'das Isolierband klebt nicht so fest, wie ich erwartet habe, daher nur 4 Sterne', 'destination': 'negative', 'language': 'de', 'text': 'The insulation tape does not stick as strongly as I expected, therefore only 4 stars.\n\nPolite Apology and Offer Assistance:\nEs tut mir leid, dass das Isolierband nicht Ihren Erwartungen entspricht. Gerne stehe ich Ihnen zur Verfügung, um eine Lösung zu finden oder Ihnen bei der Auswahl eines passenderen Produkts zu helfen. Vielen Dank für Ihr Feedback!\n\nEnglish Translation:\nI apologize that the insulation tape does not meet your expectations. I am happy to assist you in finding a solution or helping you choose a more suitable product. Thank you for your feedback!'}"
de,pet_products,Es scheint....,geschmeckt zu haben. :),4,1,positive,de,"{'input': 'geschmeckt zu haben. :)', 'destination': 'positive', 'language': 'de', 'text': 'Thank you for tasting my food. :)\n\nFriendly Response: Vielen Dank für Ihren Besuch und Ihr nettes Feedback!Wir freuen uns, dass es Ihnen geschmeckt hat. :) \n\nEnglish Translation: Thank you for your visit and your kind feedback! We are glad you enjoyed it. :)'}"
de,jewelry,Attraktives Freundschaftsband mit coolem Logo,Schönes Teil mit gutem Preis-/Leistungsverhältnis. Schnelle Lieferung. Wirkt hochwertig und ist cool verpackt. Könnte Weihnachtsgeschenk für meine Badminton-Kumpel werden...,5,1,positive,de,"{'input': 'Schönes Teil mit gutem Preis-/Leistungsverhältnis. Schnelle Lieferung. Wirkt hochwertig und ist cool verpackt. Könnte Weihnachtsgeschenk für meine Badminton-Kumpel werden...', 'destination': 'positive', 'language': 'de', 'text': 'Nice item with a good price-performance ratio. Fast delivery. Looks high-quality and is coolly packaged. Could be a Christmas gift for my badminton buddies...\n\nFriendly Thank-You Response: Vielen Dank für Ihr tolles Feedback! Wir freuen uns, dass Sie mit Ihrem Einkauf zufrieden sind. Wir hoffen, Ihre Badminton-Kumpel werden sich über das Weihnachtsgeschenk freuen!'}"
de,pet_products,Gute Geschenk idee,"Meine freundin hat sich sehr gefreut, tolles Produkt",5,1,positive,de,"{'input': 'Meine freundin hat sich sehr gefreut, tolles Produkt', 'destination': 'positive', 'language': 'de', 'text': 'My girlfriend was very pleased, great product\n\nFriendly Response: Vielen Dank für das positive Feedback! Es freut uns sehr, dass Ihre Freundin sich so gefreut hat. Wir hoffen, dass sie das Produkt weiterhin genießen wird. Thank you for the positive feedback! We are glad that your girlfriend was so pleased. We hope that she continues to enjoy the product.'}"
